sample_code,date_sampling,Flow
B1,2021-02-21 00:00:00,9.694
B1,2021-02-22 00:00:00,9.7523
B1,2021-02-23 00:00:00,9.5249
B1,2021-02-24 00:00:00,9.5036
B1,2021-02-25 00:00:00,9.3741
B1,2021-02-26 00:00:00,9.2543
B1,2021-02-27 00:00:00,9.393
B1,2021-02-28 00:00:00,9.4748
B1,2021-03-01 00:00:00,9.4298
B1,2021-03-02 00:00:00,9.3171
B1,2021-03-03 00:00:00,9.4403
B1,2021-03-04 00:00:00,9.2303
B1,2021-03-05 00:00:00,9.1578
B1,2021-03-06 00:00:00,9.6725
B1,2021-03-07 00:00:00,9.3505
B1,2021-03-08 00:00:00,9.5009
B1,2021-03-09 00:00:00,11.5652
B1,2021-03-10 00:00:00,12.9053
B1,2021-03-11 00:00:00,11.8118
B1,2021-03-12 00:00:00,10.8127
B1,2021-03-13 00:00:00,10.1942
B1,2021-03-14 00:00:00,11.5565
B1,2021-03-15 00:00:00,12.1855
B1,2021-03-16 00:00:00,10.9329
B1,2021-03-17 00:00:00,10.4538
B1,2021-03-18 00:00:00,14.0096
B1,2021-03-19 00:00:00,14.1248
B1,2021-03-20 00:00:00,11.8042
B1,2021-03-21 00:00:00,11.1126
B1,2021-03-22 00:00:00,10.8623
B1,2021-03-23 00:00:00,10.4606
B1,2021-03-24 00:00:00,10.3228
B1,2021-03-25 00:00:00,10.2435
B1,2021-03-26 00:00:00,9.9049
B1,2021-03-27 00:00:00,9.6103
B1,2021-03-28 00:00:00,9.5937
B1,2021-03-29 00:00:00,9.693
B1,2021-03-30 00:00:00,9.5217
B1,2021-03-31 00:00:00,9.4114
B1,2021-04-01 00:00:00,9.2682
B1,2021-04-02 00:00:00,9.1874
B1,2021-04-03 00:00:00,8.913
B1,2021-04-04 00:00:00,8.69
B1,2021-04-05 00:00:00,8.8233
B1,2021-04-06 00:00:00,8.7329
B1,2021-04-07 00:00:00,8.6305
B1,2021-04-08 00:00:00,8.6042
B1,2021-04-09 00:00:00,8.6794
B1,2021-04-10 00:00:00,8.5991
